"","date","hits","keyword","geo","time","gprop","category"
"144",2020-01-05,0,"electric cars","UZ","today+5-y","youtube",0
"145",2020-01-12,0,"electric cars","UZ","today+5-y","youtube",0
"146",2020-01-19,0,"electric cars","UZ","today+5-y","youtube",0
"147",2020-01-26,0,"electric cars","UZ","today+5-y","youtube",0
"148",2020-02-02,0,"electric cars","UZ","today+5-y","youtube",0
"149",2020-02-09,0,"electric cars","UZ","today+5-y","youtube",0
"150",2020-02-16,0,"electric cars","UZ","today+5-y","youtube",0
"151",2020-02-23,0,"electric cars","UZ","today+5-y","youtube",0
"152",2020-03-01,0,"electric cars","UZ","today+5-y","youtube",0
"153",2020-03-08,0,"electric cars","UZ","today+5-y","youtube",0
"154",2020-03-15,0,"electric cars","UZ","today+5-y","youtube",0
"155",2020-03-22,0,"electric cars","UZ","today+5-y","youtube",0
"156",2020-03-29,0,"electric cars","UZ","today+5-y","youtube",0
"157",2020-04-05,0,"electric cars","UZ","today+5-y","youtube",0
"158",2020-04-12,0,"electric cars","UZ","today+5-y","youtube",0
"159",2020-04-19,0,"electric cars","UZ","today+5-y","youtube",0
"160",2020-04-26,0,"electric cars","UZ","today+5-y","youtube",0
"161",2020-05-03,0,"electric cars","UZ","today+5-y","youtube",0
"162",2020-05-10,0,"electric cars","UZ","today+5-y","youtube",0
"163",2020-05-17,0,"electric cars","UZ","today+5-y","youtube",0
"164",2020-05-24,0,"electric cars","UZ","today+5-y","youtube",0
"165",2020-05-31,0,"electric cars","UZ","today+5-y","youtube",0
"166",2020-06-07,0,"electric cars","UZ","today+5-y","youtube",0
"167",2020-06-14,0,"electric cars","UZ","today+5-y","youtube",0
"168",2020-06-21,0,"electric cars","UZ","today+5-y","youtube",0
"169",2020-06-28,0,"electric cars","UZ","today+5-y","youtube",0
"170",2020-07-05,0,"electric cars","UZ","today+5-y","youtube",0
"171",2020-07-12,0,"electric cars","UZ","today+5-y","youtube",0
"172",2020-07-19,0,"electric cars","UZ","today+5-y","youtube",0
"173",2020-07-26,0,"electric cars","UZ","today+5-y","youtube",0
"174",2020-08-02,0,"electric cars","UZ","today+5-y","youtube",0
"175",2020-08-09,0,"electric cars","UZ","today+5-y","youtube",0
"176",2020-08-16,0,"electric cars","UZ","today+5-y","youtube",0
"177",2020-08-23,0,"electric cars","UZ","today+5-y","youtube",0
"178",2020-08-30,0,"electric cars","UZ","today+5-y","youtube",0
"179",2020-09-06,0,"electric cars","UZ","today+5-y","youtube",0
"180",2020-09-13,0,"electric cars","UZ","today+5-y","youtube",0
"181",2020-09-20,0,"electric cars","UZ","today+5-y","youtube",0
"182",2020-09-27,0,"electric cars","UZ","today+5-y","youtube",0
"183",2020-10-04,0,"electric cars","UZ","today+5-y","youtube",0
"184",2020-10-11,0,"electric cars","UZ","today+5-y","youtube",0
"185",2020-10-18,0,"electric cars","UZ","today+5-y","youtube",0
"186",2020-10-25,0,"electric cars","UZ","today+5-y","youtube",0
"187",2020-11-01,0,"electric cars","UZ","today+5-y","youtube",0
"188",2020-11-08,0,"electric cars","UZ","today+5-y","youtube",0
"189",2020-11-15,0,"electric cars","UZ","today+5-y","youtube",0
"190",2020-11-22,0,"electric cars","UZ","today+5-y","youtube",0
"191",2020-11-29,0,"electric cars","UZ","today+5-y","youtube",0
"192",2020-12-06,34,"electric cars","UZ","today+5-y","youtube",0
"193",2020-12-13,0,"electric cars","UZ","today+5-y","youtube",0
"194",2020-12-20,0,"electric cars","UZ","today+5-y","youtube",0
"195",2020-12-27,0,"electric cars","UZ","today+5-y","youtube",0
"196",2021-01-03,0,"electric cars","UZ","today+5-y","youtube",0
"197",2021-01-10,0,"electric cars","UZ","today+5-y","youtube",0
"198",2021-01-17,0,"electric cars","UZ","today+5-y","youtube",0
"199",2021-01-24,0,"electric cars","UZ","today+5-y","youtube",0
"200",2021-01-31,0,"electric cars","UZ","today+5-y","youtube",0
"201",2021-02-07,0,"electric cars","UZ","today+5-y","youtube",0
"202",2021-02-14,0,"electric cars","UZ","today+5-y","youtube",0
"203",2021-02-21,0,"electric cars","UZ","today+5-y","youtube",0
"204",2021-02-28,0,"electric cars","UZ","today+5-y","youtube",0
"205",2021-03-07,0,"electric cars","UZ","today+5-y","youtube",0
"206",2021-03-14,0,"electric cars","UZ","today+5-y","youtube",0
"207",2021-03-21,0,"electric cars","UZ","today+5-y","youtube",0
"208",2021-03-28,0,"electric cars","UZ","today+5-y","youtube",0
"209",2021-04-04,0,"electric cars","UZ","today+5-y","youtube",0
"210",2021-04-11,0,"electric cars","UZ","today+5-y","youtube",0
